invader,species,covariate,Mean,SD,naive_se,time_series_se,quant_2_5,quant_25,quant_50,quant_75,quant_97_5,Habitat,cov2,habitat_num,sp_num,sig
hydrilla,Azolla caroliniana,intercept,-1.244893429677223,0.0858572753150239,0.0022168253163055516,0.002278851818709905,-1.4146172441236566,-1.2987852092640617,-1.2449071500842257,-1.1869405266040096,-1.0803504322285709,floating,intercept,2,201,yes
hydrilla,Azolla caroliniana,invasive plant PAC,0.010500053484596482,0.0031199402629086964,8.055651119604913e-5,8.167493008672566e-5,0.004754145681650034,0.00825979599097273,0.010493369477202077,0.012593473898322997,0.01650223220892522,floating,hydrilla PAC,2,201,yes
hydrilla,Azolla caroliniana,management,0.06456560955167137,0.05614448294828102,0.0014496443162674577,0.0015102348619105757,-0.039211939266315235,0.026390527847014743,0.06342739575435691,0.10188571309211425,0.1777410016768426,floating,hydrilla management,2,201,no
hydrilla,Azolla caroliniana,interaction,-6.369144000028428e-4,0.003513892703268347,9.072831946745378e-5,8.637529753140985e-5,-0.007650752909385185,-0.002815885729225466,-6.896572815797758e-4,0.0016734934609874555,0.006189075803504496,floating,interaction,2,201,no
hydrilla,Bacopa caroliniana,intercept,-1.1618780757927554,0.08444022823121246,0.0021802373179295948,0.0023260218441123934,-1.3307483358012797,-1.2149190719739638,-1.159880576885805,-1.1058042254574247,-1.0046911985030622,emersed,intercept,1,102,yes
hydrilla,Bacopa caroliniana,invasive plant PAC,0.0013503524181052824,0.003915098280763214,1.0108740293440813e-4,9.549249603930608e-5,-0.006416368155734129,-0.001280305761364222,0.0013577336023333198,0.00396442774887492,0.008952915646744473,emersed,hydrilla PAC,1,102,no
hydrilla,Bacopa caroliniana,management,0.08265977594819758,0.05833006534293742,0.0015060758110425803,0.0015039305682351786,-0.03009920030661102,0.042263206994089676,0.08268037103403453,0.12241435704608392,0.1942144335065839,emersed,hydrilla management,1,102,no
hydrilla,Bacopa caroliniana,interaction,0.004705045623540867,0.004320399000067582,1.1155222250821947e-4,9.977434355125619e-5,-0.0037398746965206916,0.001736548199625078,0.004694344694822916,0.007599879124591872,0.013170235065629258,emersed,interaction,1,102,no
hydrilla,Bacopa monnieri,intercept,-0.9270018038131024,0.10387216590419446,0.0026819677912095934,0.0026817947635594773,-1.134684743211409,-0.9975370368284402,-0.924860815581912,-0.8581963788806568,-0.727634559880264,emersed,intercept,1,103,yes
hydrilla,Bacopa monnieri,invasive plant PAC,-0.003890754296613633,0.003334388064925588,8.609352963499719e-5,8.609098168458731e-5,-0.010758447999008856,-0.006115109853872123,-0.0037436429967794014,-0.0015733599110859058,0.0020727551688381296,emersed,hydrilla PAC,1,103,no
hydrilla,Bacopa monnieri,management,0.021900055722191444,0.04876769345020108,0.0012591764304371819,0.0012473666432531018,-0.06953459956011374,-0.011433866275277614,0.022175252161047196,0.05413597718074484,0.11972821605397548,emersed,hydrilla management,1,103,no
hydrilla,Bacopa monnieri,interaction,-0.0013375440082120677,0.0038393401107211966,9.913133539499556e-5,1.0445858501676376e-4,-0.008452776127392682,-0.0038453779877305905,-0.0015389122365819785,0.0010931613956963974,0.006782369511127449,emersed,interaction,1,103,no
hydrilla,Bidens spp.,intercept,-0.4158933276834159,0.08286499672171073,0.002139565015244786,0.00219403412621686,-0.5782894143267764,-0.4722253173191746,-0.41633485386269975,-0.3602528478527041,-0.25574166883493465,emersed,intercept,1,104,yes
hydrilla,Bidens spp.,invasive plant PAC,4.848319430465136e-4,0.0030017265917471818,7.750424733136524e-5,7.470473961777654e-5,-0.005401493108412558,-0.0015093169558550372,4.817830650488198e-4,0.0024341717085640795,0.0064708057746335505,emersed,hydrilla PAC,1,104,no
hydrilla,Bidens spp.,management,1.7128817979280086e-4,0.04965432526525093,0.0012820691654632202,0.0012576139694916077,-0.0938120791726873,-0.034859233942737405,-7.924354398640223e-4,0.034061147143092524,0.10135806635535023,emersed,hydrilla management,1,104,no
hydrilla,Bidens spp.,interaction,3.669026065521865e-4,0.003554216735676845,9.176948150725407e-5,8.84537510381333e-5,-0.0066606264840601195,-0.0021005425322084743,4.23865710650946e-4,0.002663879808851102,0.00734005382645792,emersed,interaction,1,104,no
hydrilla,Brasenia schreberi,intercept,-3.217681368571727,0.2411763061209964,0.006227145447376272,0.028097321530753783,-3.6268647978023365,-3.3698485532347324,-3.233772980467473,-3.085184860366346,-2.685543839696755,emersed,intercept,1,105,yes
hydrilla,Brasenia schreberi,invasive plant PAC,-0.01198241891074451,0.007711553517737655,1.9911145565056773e-4,3.3187538522901864e-4,-0.027750223316850342,-0.016634842710871182,-0.011781923742078072,-0.006827240856001059,0.0025212042766538977,emersed,hydrilla PAC,1,105,no
hydrilla,Brasenia schreberi,management,0.22975301365302703,0.10286012347354662,0.0026558369680125646,0.004076525191456573,0.03092537191911783,0.16025691991962532,0.22876473298494154,0.29921366440021485,0.4328869823010151,emersed,hydrilla management,1,105,yes
hydrilla,Brasenia schreberi,interaction,0.007109534805941111,0.00833853830305037,2.153001331961783e-4,3.3805558512660627e-4,-0.008198146323532909,0.0012352770867440311,0.007038455175877575,0.012361734691751843,0.02458284100795926,emersed,interaction,1,105,no
hydrilla,Cabomba caroliniana,intercept,-1.769879056513869,0.10563763108991621,0.0027275519062936555,0.003354641790749034,-1.9722909257886965,-1.8408403463271914,-1.7717756392484485,-1.6966373190712216,-1.5716556084930362,submersed,intercept,3,306,yes
hydrilla,Cabomba caroliniana,invasive plant PAC,0.007327226371023336,0.0037865313047173227,9.776781788708822e-5,1.0894964790497199e-4,-1.235005790118521e-4,0.004753888210426445,0.007372121060316114,0.00989974396050454,0.014889017573891935,submersed,hydrilla PAC,3,306,no
hydrilla,Cabomba caroliniana,management,0.24237282912516284,0.10658667318629704,0.0027520560678545407,0.00210255029414781,0.031615062453960216,0.1603805212633716,0.26094383695316115,0.32033480547714516,0.4204585410758922,submersed,hydrilla management,3,306,yes
hydrilla,Cabomba caroliniana,interaction,-0.011855720083539889,0.004527005185974103,1.1688677128981541e-4,1.3156159666061768e-4,-0.02085749934613355,-0.014911652735961033,-0.011851151788531133,-0.008835559332913325,-0.0030633160933994665,submersed,interaction,3,306,yes
hydrilla,Carex spp.,intercept,-1.5247467864979238,0.07061515158820146,0.0018232753739401098,0.001847730151860386,-1.6681235711837603,-1.5704640556503486,-1.5230719349202704,-1.4751487031339148,-1.3946535265174096,emersed,intercept,1,107,yes
hydrilla,Carex spp.,invasive plant PAC,0.002484675270686006,0.0034777551316150903,8.979525137955085e-5,8.772604842700731e-5,-0.0044549699132249345,1.4427626135723808e-4,0.002461878150874535,0.004811182619418446,0.008993200647146666,emersed,hydrilla PAC,1,107,no
hydrilla,Carex spp.,management,-0.03302978047103347,0.07531589122617607,0.0019446479494916616,0.0016147174222948483,-0.183718589978492,-0.0824031526879859,-0.03209446459432773,0.021351685275475738,0.1015179530076189,emersed,hydrilla management,1,107,no
hydrilla,Carex spp.,interaction,2.559337261660143e-4,0.0040233143694243965,1.0388153032891788e-4,1.0295388774794077e-4,-0.0073794228781315155,-0.002538389355412931,2.619972178718781e-4,0.002926533348553551,0.008434938863315696,emersed,interaction,1,107,no
hydrilla,Cephalanthus occidentalis,intercept,0.7542107820874808,0.06708998913458605,0.001732256070769922,0.0017138538110315121,0.6212413791958482,0.7096344994579783,0.7553727886797482,0.7979225047728726,0.8826901227408464,emersed,intercept,1,108,yes
hydrilla,Cephalanthus occidentalis,invasive plant PAC,-0.005679291641778535,0.0030793840639653596,7.950935464209569e-5,7.905389223800007e-5,-0.0116629945631994,-0.007777784151657128,-0.005694031139661493,-0.0036039888596123525,4.1699835915037786e-4,emersed,hydrilla PAC,1,108,no
hydrilla,Cephalanthus occidentalis,management,-0.015848872938078382,0.05200024611199839,0.0013426405812697116,0.0012980591928902414,-0.1144372934997323,-0.05147080805498136,-0.01619787370861029,0.019288153484317692,0.0888964112548985,emersed,hydrilla management,1,108,no
hydrilla,Cephalanthus occidentalis,interaction,0.001852857929310914,0.003582356512225393,9.249604741351088e-5,9.48160034722531e-5,-0.005255241214131769,-6.001093264286367e-4,0.0019144577345472427,0.0042364556226981275,0.009064497251245644,emersed,interaction,1,108,no
hydrilla,Ceratophyllum demersum,intercept,-0.40595904569820246,0.07809391164360352,0.002016376128239133,0.002007845009921347,-0.5577452509061278,-0.4576228761746125,-0.4056181207445909,-0.35423649900424714,-0.2456810597279181,submersed,intercept,3,309,yes
hydrilla,Ceratophyllum demersum,invasive plant PAC,0.017505579456797555,0.0032507294989046133,8.393347474855165e-5,8.653429958105702e-5,0.01143287508420541,0.015173685274699,0.017537998374327533,0.01966396252337569,0.024054523418550643,submersed,hydrilla PAC,3,309,yes
hydrilla,Ceratophyllum demersum,management,0.40609150713094505,0.08548088300725519,0.002207106908708026,0.0012504501761984854,0.23940441358650938,0.33611177214221355,0.4237028745743372,0.4728553529580646,0.5358537357431147,submersed,hydrilla management,3,309,yes
hydrilla,Ceratophyllum demersum,interaction,-0.009763859175636581,0.003770416155991884,9.735172653618635e-5,9.974658189737843e-5,-0.017109030431274923,-0.012301138295989604,-0.009580013203982149,-0.00716422274590359,-0.0023859684035506794,submersed,interaction,3,309,yes
hydrilla,Chara spp.,intercept,-1.14443621623157,0.0737276855016978,0.001903640654016624,0.0014340600875384247,-1.2785144310651577,-1.1980869816969584,-1.1489481940785153,-1.089042576970982,-1.0056827243859208,submersed,intercept,3,310,yes
hydrilla,Chara spp.,invasive plant PAC,0.003441076572268882,0.003350699935011708,8.65147003095908e-5,8.18545184671877e-5,-0.0033357834173341353,0.0013212174538641329,0.0035041249018459225,0.005640290614436869,0.009939396508220472,submersed,hydrilla PAC,3,310,no
hydrilla,Chara spp.,management,0.1714365485219029,0.06691878825617274,0.0017278356830969168,0.0012753102168879078,0.04246049399863418,0.12317367689642744,0.17420044231609283,0.2184885461695259,0.29630864870979046,submersed,hydrilla management,3,310,yes
hydrilla,Chara spp.,interaction,-2.003301608995983e-4,0.0039599003295706535,1.0224418686045603e-4,9.79271910987938e-5,-0.00766947610853528,-0.0028454022989979114,-3.4996825608190924e-4,0.002406757889555089,0.007929744229635211,submersed,interaction,3,310,no
hydrilla,Cicuta maculata,intercept,-1.7975965352406968,0.08657436682094422,0.002235340539373126,0.003140752904266341,-1.9735916058942289,-1.8544668703754015,-1.7985844830445672,-1.7379084531219933,-1.6290295875624032,emersed,intercept,1,111,yes
hydrilla,Cicuta maculata,invasive plant PAC,-0.0015628710239303084,0.0038702949444030304,9.99305857638913e-5,1.0100113848616813e-4,-0.009145564134838715,-0.004079102309908326,-0.001412501359218565,0.0011908645515722386,0.0057596954233040554,emersed,hydrilla PAC,1,111,no
hydrilla,Cicuta maculata,management,0.12933850192114738,0.07277729571579711,0.001879101695261964,0.0019194364078304607,-0.014715944549536732,0.0800719169300324,0.13134369334509122,0.17547356617505205,0.2778799497397745,emersed,hydrilla management,1,111,no
hydrilla,Cicuta maculata,interaction,-0.004574191455007174,0.004461688756584426,1.1520030833474906e-4,1.1754897133592012e-4,-0.01310464074369921,-0.007623879492071919,-0.004618707149673411,-0.0015093465536109843,0.004200822892046793,emersed,interaction,1,111,no
hydrilla,Cladium jamaicense,intercept,-0.16497763593528778,0.10208498176691509,0.0026358228952076666,0.0026173174379832144,-0.3672519932897636,-0.23291287809939698,-0.16246433188078357,-0.09485686416015922,0.030458195753401352,emersed,intercept,1,112,no
hydrilla,Cladium jamaicense,invasive plant PAC,-0.001712997040833071,0.0036085136997555385,9.317142309143007e-5,9.78541655822146e-5,-0.008858013898806161,-0.004117304150300514,-0.0016576896488801553,8.612206825715479e-4,0.005257495026170131,emersed,hydrilla PAC,1,112,no
hydrilla,Cladium jamaicense,management,-0.1263772430145613,0.08627287943364867,0.002227556168505878,0.0016247157325600318,-0.28504819598778974,-0.18875370218474546,-0.13398371773323114,-0.06204570652202773,0.043112516999966176,emersed,hydrilla management,1,112,no
hydrilla,Cladium jamaicense,interaction,0.0022628097303909037,0.004023067279429352,1.0387515049267907e-4,1.0278372104868175e-4,-0.005302136579477244,-4.315771948106801e-4,0.002103961496913667,0.004881390839095969,0.010251091196695436,emersed,interaction,1,112,no
