TaxonName,effect,component,group,term,estimate,std.error,statistic,p.value,q.value,lower,upper,odds_perc,lower_odds_perc,upper_odds_perc
Azolla caroliniana,fixed,cond,NA,Time:HydrCovC,0.002679034626103605,8.897727444694943e-4,3.0109200835331444,0.0026045739281328477,0.013235487920511818,9.35080046943396e-4,0.004422989205263814,0.2682626446188108,0.09355173705907216,0.4432785059012456
Azolla caroliniana,fixed,cond,NA,Time:FloatCovC,-0.0064039377902056355,0.0038647466282459002,-1.657013617245124,0.09751672204203198,0.2187537278240177,-0.0139788411815676,0.001170965601156329,-0.6383476281969891,-1.3881590857505066,0.11716514490511809
Azolla caroliniana,fixed,cond,NA,Time:HydrTrtFreqC,-7.271118975235587e-4,2.3169451285793508e-4,-3.1382352933381372,0.001699683775112453,0.009335763088301488,-0.0011812331427251115,-2.72990652322006e-4,-0.07268476157258341,-0.11805357614733669,-0.027295339376431915
Azolla caroliniana,fixed,cond,NA,Time:FloatTrtFreqC,3.854203010140789e-4,1.9475661312698495e-4,1.978984409442249,0.0478177616154906,0.130842007057771,3.697339285188366e-6,7.671432627429694e-4,0.03854945849615099,3.697346120379308e-4,0.07674375923951704
Azolla caroliniana,fixed,cond,NA,Time:OtherTrtFreqC,9.500645453672063e-4,2.706372180321085e-4,3.510472625588733,4.4731086202558576e-4,0.0033414121393311254,4.196155980242737e-4,0.0014805134927101389,0.09505159996463508,0.04197036489648198,0.14816099938725902
Azolla caroliniana,fixed,cond,NA,Time:HydrTrtAreaC,1.560691537702803e-4,6.244177098670876e-4,0.2499435094553947,0.8026310351276122,0.8825035691156666,-0.0010677895575692113,0.001379927865109772,0.015608133319422457,-0.10672196731564831,0.13808804036605782
Azolla caroliniana,fixed,cond,NA,Time:FloatTrtAreaC,-2.736523628565743e-4,0.002649888179475586,-0.10326940018681477,0.9177491608585366,0.9495271788938046,-0.005467433194628722,0.004920128468915574,-0.027361492346389404,-0.5452513984072649,0.49322521762349414
Azolla caroliniana,fixed,cond,NA,Time:OtherTrtAreaC,-0.0010627172515312296,0.003464392027385399,-0.30675432893582477,0.7590303734799351,0.8603879954317323,-0.00785292562520661,0.005727491122144152,-0.10621527675328535,-0.7822171959506075,0.574392455856132
Azolla caroliniana,fixed,cond,NA,Time:LatitudeC,-0.03968111558677183,0.006864487456152002,-5.780637788362383,7.4417958809211e-9,2.779510761524031e-7,-0.05313551100082975,-0.026226720172713904,-3.890413121591685,-5.17484947350928,-2.58857867715363
Bacopa caroliniana,fixed,cond,NA,Time:HydrCovC,-4.610277642626407e-4,0.0010264823887534981,-0.449133632796649,0.6533352597598117,0.7909909870998043,-0.002472933246219497,0.0015508777176942157,-0.046092150729271086,-0.24698780657373964,0.15520809504836475
Bacopa caroliniana,fixed,cond,NA,Time:FloatCovC,-0.022543405383457556,0.011043378877069758,-2.0413503543074314,0.04121601532592218,0.11912079292581287,-0.04418842798251428,-8.983827844008287e-4,-2.2291201552998463,-4.322634244321078,-0.08979793594062757
Bacopa caroliniana,fixed,cond,NA,Time:HydrTrtFreqC,-8.739293012884849e-5,2.595082740830526e-4,-0.3367635596115112,0.7362951452972162,0.8530332372739416,-5.960291473316316e-4,4.2124328707393463e-4,-0.008738911147798678,-0.05958515572440648,0.042133202248662016
Bacopa caroliniana,fixed,cond,NA,Time:FloatTrtFreqC,-7.779350587736974e-4,2.2587037354719074e-4,-3.444165990238488,5.728239105562702e-4,0.003956497502682189,-0.0012206409909261912,-3.352291266212035e-4,-0.0777632545746143,-0.12198963117379114,-0.03351729436157358
Bacopa caroliniana,fixed,cond,NA,Time:OtherTrtFreqC,0.0011971690364866664,3.1867075681644573e-4,3.7567583811157026,1.7212854098215986e-4,0.0015144798242646778,5.725743531264328e-4,0.0018217637198469,0.11978859293897415,0.05727383051115087,0.18234241395167494
Bacopa caroliniana,fixed,cond,NA,Time:HydrTrtAreaC,4.7537029788797484e-4,7.194110518268999e-4,0.6607770296005342,0.5087553158859344,0.6839997803369796,-9.346753636927489e-4,0.0018854159594686986,0.04754833042539541,-0.09342386907347233,0.18871944737095525
Bacopa caroliniana,fixed,cond,NA,Time:FloatTrtAreaC,-0.004022306658983144,0.003023147225543727,-1.330503068126202,0.18335257614559303,0.34762531568720306,-0.009947675221048849,0.0019030619030825603,-0.4014228018772825,-0.9898360756786739,0.19048738746350047
Bacopa caroliniana,fixed,cond,NA,Time:OtherTrtAreaC,0.003882855756569086,0.003134708464784232,1.2386656686545652,0.21546933774417557,0.3860486522872709,-0.0022611728344080085,0.010026884347546181,0.38904038071509994,-0.22586183088851852,1.0077321988918309
Bacopa caroliniana,fixed,cond,NA,Time:LatitudeC,0.007962168571360978,0.007387785526443847,1.0777476610360688,0.28114638250939544,0.465668176794941,-0.006517891060468961,0.022442228203190917,0.7993950931711957,-0.6496695683252174,2.2695949475157517
Bacopa monnieri,fixed,cond,NA,Time:HydrCovC,-0.005468487007811148,0.0011181281964902118,-4.890751369097613,1.0045178487945038e-6,2.1439280944271264e-5,-0.007660018272931963,-0.0032769557426903326,-0.5453562050771743,-0.7630755099446884,-0.327159238331709
Bacopa monnieri,fixed,cond,NA,Time:FloatCovC,-0.014052577580822087,0.006727844157847421,-2.0887192466298474,0.03673300328212449,0.10888711687201189,-0.02723915213020303,-8.66003031441142e-4,-1.395430099750894,-2.6871512057164093,-0.0865628159037235
Bacopa monnieri,fixed,cond,NA,Time:HydrTrtFreqC,1.8722440955258487e-4,1.8641645498489133e-4,1.0043341376047465,0.3152175843751949,0.49775679080616864,-1.781518422178021e-4,5.526006613229718e-4,0.018724193713626214,-0.01781359741206412,0.05527533731966017
