invader,species,covariate,Mean,SD,naive_se,time_series_se,quant_2_5,quant_25,quant_50,quant_75,quant_97_5,Habitat,cov2,habitat_num,sp_num,sig
Cuban bulrush,Azolla caroliniana,intercept,-0.98389791570931,0.10059173508588055,0.002597267431691491,0.0025920585151563104,-1.1725246947677725,-1.0459513529628532,-0.9850890596864539,-0.9222165133268647,-0.7758216463834378,floating,intercept,2,201,yes
Cuban bulrush,Azolla caroliniana,invasive plant cover,0.01325128394442581,0.053231902365620004,0.0013744418089932365,0.0013696115758041404,-0.0958796821995691,-0.022113257630346966,0.01584346106921339,0.04950534963135592,0.11283238911091997,floating,Cuban bulrush cover,2,201,no
Cuban bulrush,Azolla caroliniana,management,0.2303307252442355,0.09873941525756734,0.002549440739378779,0.002580952679623384,0.03944295991840904,0.1638482508127947,0.22778282303292663,0.29719563798409987,0.42565757909564594,floating,Cuban bulrush mgmt.,2,201,yes
Cuban bulrush,Azolla caroliniana,interaction,-0.06325520088376059,0.07572317482188563,0.0019551639667141052,0.001955038926734904,-0.2139672262797505,-0.11389535416048249,-0.06490958466482401,-0.010742277677271365,0.08566329073902013,floating,interaction,2,201,no
Cuban bulrush,Bacopa caroliniana,intercept,-1.1028578698093185,0.10368170622143193,0.002677050143346505,0.0028058713306758553,-1.310165307828245,-1.1733976546260783,-1.1006115690006548,-1.0325515214352716,-0.9128206636535716,emersed,intercept,1,102,yes
Cuban bulrush,Bacopa caroliniana,invasive plant cover,0.143676813397492,0.05291061568997871,0.0013661462226991225,0.0013648773725081415,0.04148831397720064,0.10598221552120667,0.14330238231425685,0.1799471356436142,0.24622485124460264,emersed,Cuban bulrush cover,1,102,yes
Cuban bulrush,Bacopa caroliniana,management,-0.17045117717640038,0.09949948180394033,0.0025690655732195254,0.0026817432020536085,-0.3602380414574579,-0.23996501367155973,-0.17033114272047895,-0.10347257565204274,0.02920160469834103,emersed,Cuban bulrush mgmt.,1,102,no
Cuban bulrush,Bacopa caroliniana,interaction,-0.05563020858879449,0.06907610716807701,0.0017835374178853402,0.0018155865390197523,-0.1944134954027484,-0.10369843561958342,-0.054231181179030655,-0.009042464773687935,0.07865373833702635,emersed,interaction,1,102,no
Cuban bulrush,Bacopa monnieri,intercept,-0.8418180161466128,0.16762245321842495,0.004327993131769278,0.004324581737121181,-1.1556617396903173,-0.9609383019868457,-0.8406033539045203,-0.7352000833526906,-0.500638394858961,emersed,intercept,1,103,yes
Cuban bulrush,Bacopa monnieri,invasive plant cover,-0.020394247720251456,0.05703406155770337,0.0014726131371970252,0.001471651952238005,-0.13100128557328894,-0.06040829087886676,-0.02055039881318232,0.019567086208719706,0.09288483220183202,emersed,Cuban bulrush cover,1,103,no
Cuban bulrush,Bacopa monnieri,management,0.18703969185140382,0.08849557952501187,0.002284946038088967,0.002278024029135108,0.013958868501739352,0.12696593746453572,0.18572705965254382,0.2472535889407632,0.36344586951754787,emersed,Cuban bulrush mgmt.,1,103,yes
Cuban bulrush,Bacopa monnieri,interaction,0.013214872752981879,0.07451188852097933,0.0019238886889081101,0.0018862862560324479,-0.1330953126745217,-0.03722536017819504,0.016065599998449948,0.06552650569939636,0.1490891745473776,emersed,interaction,1,103,no
Cuban bulrush,Bidens spp.,intercept,-0.2199449609418535,0.08638338445254723,0.0022304093958249874,0.0021715558486457972,-0.3853577145796068,-0.2779892241299511,-0.22535679846593326,-0.1628279882658445,-0.04833536026663644,emersed,intercept,1,104,yes
Cuban bulrush,Bidens spp.,invasive plant cover,0.018484282668491895,0.04782230513370238,0.0012347666090671919,0.0012354227282238138,-0.07699106678132078,-0.013145118620749874,0.018619066141105957,0.05108902742013553,0.11052177254759721,emersed,Cuban bulrush cover,1,104,no
Cuban bulrush,Bidens spp.,management,0.004953269679054533,0.08795772178054395,0.0022710586108426137,0.0022957180753755153,-0.16573123036201606,-0.0579924722238358,0.005088616555115022,0.0656149735357445,0.17422384794612328,emersed,Cuban bulrush mgmt.,1,104,no
Cuban bulrush,Bidens spp.,interaction,-0.0033826254478681217,0.065010518037049575,0.0016785643579053993,0.0017272141191538965,-0.11997567136782641,-0.05193182054125308,-0.0034712046431205094,0.042684173136814774,0.12883044203443417,emersed,interaction,1,104,no
Cuban bulrush,Brasenia schreberi,intercept,-2.5858798087165247,0.2817583715398782,0.007274969870856468,0.020033173497692403,-3.1591890614502462,-2.7876949690063753,-2.57515509920435,-2.377949905130629,-2.091798439962103,emersed,intercept,1,105,yes
Cuban bulrush,Brasenia schreberi,invasive plant cover,0.06354842879928994,0.07608664423201764,0.001964548706529419,0.002234498638793096,-0.07740696196341845,0.010134210748104854,0.05887963700350485,0.11648497466101235,0.2194662788777862,emersed,Cuban bulrush cover,1,105,no
