TaxonName,effect,component,group,term,estimate,std.error,statistic,p.value
Azolla caroliniana,fixed,cond,NA,(Intercept),-2.691139029226385,0.19709834365661108,-13.653788151132028,1.91651062554923e-42
Azolla caroliniana,fixed,cond,NA,Time,0.05656007395606099,0.022243282551733426,2.5427934849325218,0.01099702042810353
Azolla caroliniana,fixed,cond,NA,Time:HydrPACc,0.003980133782506156,0.0021747863361149303,1.8301263514540578,0.06723104737152658
Azolla caroliniana,fixed,cond,NA,Time:FloatPACc,0.010709390795448396,0.011030243486895566,0.9709115495203385,0.3315923263128022
Azolla caroliniana,fixed,cond,NA,Time:TrtAreaConC,-0.01705904142046985,0.0069432073243057835,-2.4569396567998205,0.014012622173587886
Azolla caroliniana,fixed,cond,NA,Time:TrtAreaSysC,-5.596743565701477e-4,0.0018710117367197524,-0.2991292601677452,0.7648414214197028
Azolla caroliniana,fixed,cond,NA,Time:TrtAreaNonC,2.6432718253620194e-4,0.0010116609973169243,0.26128039257936897,0.7938762859959716
Azolla caroliniana,fixed,cond,NA,Time:TrtFreqConC,0.0018585599472077364,7.859568691923672e-4,2.3647098461236857,0.01804420164388095
Azolla caroliniana,fixed,cond,NA,Time:TrtFreqSysC,2.4735349951568247e-4,6.814995086588684e-4,0.36295477307452884,0.7166386696003779
Azolla caroliniana,fixed,cond,NA,Time:TrtFreqNonC,0.004622351475949612,0.001858570741593886,2.4870462945013028,0.012880863601410655
Azolla caroliniana,fixed,cond,NA,Time:TrtMonthStd,0.009171000430807225,0.016902751093233605,0.5425744235492231,0.5874228527336838
Azolla caroliniana,fixed,cond,NA,Time:LatitudeC,-0.035142970043722264,0.020911445940811454,-1.6805614563044686,0.09284812775000899
Azolla caroliniana,ran_pars,cond,AreaOfInterestID,sd__(Intercept),1.9667335903402199,NA,NA,NA
Bacopa caroliniana,fixed,cond,NA,(Intercept),-2.668777821544271,0.27970753723196035,-9.541315360876615,1.4103201440131347e-21
Bacopa caroliniana,fixed,cond,NA,Time,-0.05728675553626428,0.02536813120100703,-2.2582174099600283,0.02393210835835251
Bacopa caroliniana,fixed,cond,NA,Time:HydrPACc,0.0013763881186910258,0.0025800610102237726,0.5334711517428999,0.5937074755191107
Bacopa caroliniana,fixed,cond,NA,Time:FloatPACc,0.009229722405866088,0.02447790649575902,0.37706339010099604,0.7061264970512237
Bacopa caroliniana,fixed,cond,NA,Time:TrtAreaConC,-0.028531523594487712,0.010675584178166159,-2.672596002084902,0.007526683458815519
Bacopa caroliniana,fixed,cond,NA,Time:TrtAreaSysC,-0.010504715199807113,0.004931069106939207,-2.1303119003188247,0.0331458717218736
Bacopa caroliniana,fixed,cond,NA,Time:TrtAreaNonC,0.002335264059877343,0.0011740691524308145,1.9890345087786092,0.04669739411552491
Bacopa caroliniana,fixed,cond,NA,Time:TrtFreqConC,3.871280358289387e-4,8.771761166201562e-4,0.4413344464057916,0.6589708921109878
Bacopa caroliniana,fixed,cond,NA,Time:TrtFreqSysC,-1.3475713259612833e-4,8.458254113450378e-4,-0.15932026963086454,0.8734165518674061
Bacopa caroliniana,fixed,cond,NA,Time:TrtFreqNonC,0.0031976447050710323,0.0020870478835390556,1.532137681311227,0.12548846288446489
Bacopa caroliniana,fixed,cond,NA,Time:TrtMonthStd,0.019987325558929476,0.017619477166658102,1.1343881188910718,0.2566317805926346
Bacopa caroliniana,fixed,cond,NA,Time:LatitudeC,0.06485945375148514,0.024906435624441718,2.6041242805468263,0.009210934978995866
Bacopa caroliniana,ran_pars,cond,AreaOfInterestID,sd__(Intercept),3.123963354683869,NA,NA,NA
Bacopa monnieri,fixed,cond,NA,(Intercept),-1.7218766072207385,0.15347507393635992,-11.219259017491877,3.280072017139535e-29
Bacopa monnieri,fixed,cond,NA,Time,-0.02488143849457186,0.02033966258174597,-1.2232965219837006,0.22121772033892098
Bacopa monnieri,fixed,cond,NA,Time:HydrPACc,-0.0028911475121164935,0.0024274797632546103,-1.1910078740430887,0.2336504937555342
Bacopa monnieri,fixed,cond,NA,Time:FloatPACc,-0.03090559918100905,0.017542194890551113,-1.7617863314046278,0.07810540499855714
Bacopa monnieri,fixed,cond,NA,Time:TrtAreaConC,-0.01357415301542613,0.005031459500384054,-2.6978559629447494,0.006978762903066531
Bacopa monnieri,fixed,cond,NA,Time:TrtAreaSysC,-0.008674853294100806,0.0026614578953718074,-3.259436607727707,0.001116337250574189
Bacopa monnieri,fixed,cond,NA,Time:TrtAreaNonC,0.0017393591927347828,8.339370243916714e-4,2.085720074610653,0.03700398693171823
Bacopa monnieri,fixed,cond,NA,Time:TrtFreqConC,9.457942302692996e-5,6.906145739831303e-4,0.1369496483131563,0.8910705948251296
Bacopa monnieri,fixed,cond,NA,Time:TrtFreqSysC,0.0016055873887858502,5.958477639714761e-4,2.694626859190012,0.007046749623634135
Bacopa monnieri,fixed,cond,NA,Time:TrtFreqNonC,0.002085258125235265,0.0014625405206628367,1.42577801830079,0.15393242792378653
Bacopa monnieri,fixed,cond,NA,Time:TrtMonthStd,-0.09268941740513231,0.016089210269588955,-5.760967496355576,8.363314603239591e-9
Bacopa monnieri,fixed,cond,NA,Time:LatitudeC,-0.17218789255971212,0.024488198524862025,-7.031464253480944,2.0437723042881592e-12
Bacopa monnieri,ran_pars,cond,AreaOfInterestID,sd__(Intercept),1.6960157680437953,NA,NA,NA
Bidens spp.,fixed,cond,NA,(Intercept),-0.6263829665670921,0.1574852695952012,-3.977406700811711,6.967094525462464e-5
Bidens spp.,fixed,cond,NA,Time,0.023348203413541043,0.018484272377125587,1.2631388965266819,0.20653926750551097
Bidens spp.,fixed,cond,NA,Time:HydrPACc,0.006571500324324016,0.0027763986820867905,2.366915229690557,0.0179370407032242
Bidens spp.,fixed,cond,NA,Time:FloatPACc,0.059951372114074815,0.01738841699009219,3.4477763069654204,5.652219456181164e-4
Bidens spp.,fixed,cond,NA,Time:TrtAreaConC,-0.03931248868285302,0.0073751742812356285,-5.330380975928158,9.800694908214895e-8
Bidens spp.,fixed,cond,NA,Time:TrtAreaSysC,-0.004987677121744414,0.002301052184466073,-2.1675636717042708,0.030191900308561948
