Metric,Invasive,Response,Term,Estimate,SE,t,P,Intercept,R2,Waterbodies,Years,N
phosphorus,Cuban bulrush,mean,invasive PAC,-0.05026670238206821,0.03875131897943169,-1.2971610697625189,0.19604086604896154,25.115427557856574,0.04231669374860331,91,9,819
phosphorus,Cuban bulrush,mean,management,-0.151083057327304,0.07977251122555326,-1.8939237966336966,0.05965013236652719,25.115427557856574,0.04231669374860331,91,9,819
phosphorus,Cuban bulrush,mean,invasive PAC:management,-0.024214119147196414,0.04940180672872442,-0.4901464288575754,0.6245570141566581,25.115427557856574,0.04231669374860331,91,9,819
phosphorus,Cuban bulrush,max,invasive PAC,-0.09649533421600237,0.09301247897606553,-1.0374450318739818,0.3007566302181564,37.40046873374716,0.041961740748979556,91,9,819
phosphorus,Cuban bulrush,max,management,-0.21973472799321173,0.11725238955681622,-1.8740319819813678,0.06235562463861702,37.40046873374716,0.041961740748979556,91,9,819
phosphorus,Cuban bulrush,max,invasive PAC:management,0.021968371201630442,0.10449245731352194,0.2102388226522031,0.8336911127668297,37.40046873374716,0.041961740748979556,91,9,819
phosphorus,Cuban bulrush,min,invasive PAC,-0.08553619305770657,0.061364298564460414,-1.3939081038766323,0.16486185159787112,15.94584044545671,0.007328615544734504,91,9,819
phosphorus,Cuban bulrush,min,management,-0.05002873442361818,0.09885317379715096,-0.5060913322447119,0.6133390005124155,15.94584044545671,0.007328615544734504,91,9,819
phosphorus,Cuban bulrush,min,invasive PAC:management,0.07341573827120537,0.06584492249595028,1.114979492545089,0.26617099540631145,15.94584044545671,0.007328615544734504,91,9,819
phosphorus,Cuban bulrush,cv,invasive PAC,-0.03916573763462857,0.11372480966362737,-0.3443904434790622,0.730907430250055,0.23300819430289857,0.012955434120705784,91,9,819
phosphorus,Cuban bulrush,cv,management,-0.16351474477437342,0.14467419942439863,-1.130227403537976,0.2597075141303521,0.23300819430289857,0.012955434120705784,91,9,819
phosphorus,Cuban bulrush,cv,invasive PAC:management,0.001843553452520461,0.13211075820419074,0.013954605041862373,0.9888798351587997,0.23300819430289857,0.012955434120705784,91,9,819
phosphorus,torpedograss,mean,invasive PAC,-0.007179319332173492,0.012920360163287091,-0.5556593811195267,0.5786864425072219,23.688703716524046,0.00480668759871335,72,21,1512
phosphorus,torpedograss,mean,management,-0.01830758248874285,0.0531000295859604,-0.34477537265974256,0.7304048272954238,23.688703716524046,0.00480668759871335,72,21,1512
phosphorus,torpedograss,mean,invasive PAC:management,-0.017418446773865177,0.013673674785530696,-1.2738672702891216,0.20328840998272404,23.688703716524046,0.00480668759871335,72,21,1512
phosphorus,torpedograss,max,invasive PAC,-0.008094715384997165,0.014283621516441108,-0.5667130969327193,0.5711574631944063,33.60177027045598,0.002073510553475001,72,21,1512
phosphorus,torpedograss,max,management,-0.014003058457103012,0.0735391476495169,-0.19041638235788014,0.8490583357144298,33.60177027045598,0.002073510553475001,72,21,1512
phosphorus,torpedograss,max,invasive PAC:management,-0.013655003913764813,0.01974678539588475,-0.6915051559030225,0.4895615697455843,33.60177027045598,0.002073510553475001,72,21,1512
phosphorus,torpedograss,min,invasive PAC,-0.007071502151933368,0.017453673704886156,-0.40515837934759263,0.6855303267326807,16.32555375432021,0.010261028024381455,72,21,1512
phosphorus,torpedograss,min,management,-0.10737261615410716,0.06157039976694343,-1.7438999350423985,0.08177669951004479,16.32555375432021,0.010261028024381455,72,21,1512
phosphorus,torpedograss,min,invasive PAC:management,-0.020287578612008472,0.016387800039009394,-1.2379684011103427,0.21629513977363554,16.32555375432021,0.010261028024381455,72,21,1512
phosphorus,torpedograss,cv,invasive PAC,-0.0029968302903496126,0.01182535862053272,-0.25342405135571344,0.8000422701717949,0.20501181764843257,0.0012782252416093057,72,21,1512
phosphorus,torpedograss,cv,management,0.05506058429050316,0.08049204000058767,0.6840500537705488,0.4942530410134265,0.20501181764843257,0.0012782252416093057,72,21,1512
phosphorus,torpedograss,cv,invasive PAC:management,-9.059168746965475e-4,0.02041544344596382,-0.04437409733931835,0.9646235091849324,0.20501181764843257,0.0012782252416093057,72,21,1512
