invader,species,covariate,Mean,SD,naive_se,time_series_se,quant_2_5,quant_25,quant_50,quant_75,quant_97_5,Habitat,cov2,habitat_num,sp_num,sig
hydrilla,Azolla caroliniana,intercept,-1.2523762068676272,0.08418925970724601,0.002173757338504633,0.0021740531121302036,-1.4220602516158674,-1.3064679561564612,-1.2514335002127495,-1.1995979947945346,-1.084610093958244,floating,intercept,2,201,yes
hydrilla,Azolla caroliniana,invasive plant cover,0.010400721885888366,0.0031854978808983805,8.224920161398964e-5,8.24046172024216e-5,0.003950421840271778,0.008227705754757914,0.010482749795962778,0.012613837501570356,0.016528076307986167,floating,hydrilla cover,2,201,yes
hydrilla,Azolla caroliniana,management,0.07737653946623586,0.0597209297576054,0.0015419877758081912,0.0014808835834026555,-0.032958824248549984,0.03573481380825044,0.07671159242781,0.11779368790890342,0.19086093229849924,floating,hydrilla mgmt.,2,201,no
hydrilla,Azolla caroliniana,interaction,-7.827110723529233e-4,0.003716299950293836,9.595445211332986e-5,9.580957999229661e-5,-0.008002032192985363,-0.0032625934560948848,-7.855480764235321e-4,0.0015406084902449971,0.006867102659736998,floating,interaction,2,201,no
hydrilla,Bacopa caroliniana,intercept,-1.181838572619588,0.08448654873973888,0.0021814333083169995,0.002231636235720817,-1.3486331804463583,-1.2383363808602121,-1.1802885472030615,-1.1247277947072059,-1.0190563407294098,emersed,intercept,1,102,yes
hydrilla,Bacopa caroliniana,invasive plant cover,0.0015984165167863343,0.0036680459642011005,9.470853954982793e-5,8.682361641454821e-5,-0.005378238213752461,-9.825301277881083e-4,0.0015050406741138884,0.004122053029490445,0.008869321286955782,emersed,hydrilla cover,1,102,no
hydrilla,Bacopa caroliniana,management,0.09428655847024787,0.05836390673652847,0.001506949592067851,0.0016637322083615262,-0.019105004259900506,0.056060195712746994,0.0947561926246377,0.13422966583953233,0.2091793896743292,emersed,hydrilla mgmt.,1,102,no
hydrilla,Bacopa caroliniana,interaction,0.004897733833840573,0.0040753383949127,1.0522478489104369e-4,9.473018246843981e-5,-0.0029327631179934402,0.002066506418621869,0.004911326500403938,0.007547709956070079,0.012873792114518369,emersed,interaction,1,102,no
hydrilla,Bacopa monnieri,intercept,-0.942349091874467,0.10156798183213248,0.0026224740142916435,0.0025994753249424826,-1.1481527671679008,-1.0098612650697654,-0.939834383033102,-0.8741949517749726,-0.7442601569304366,emersed,intercept,1,103,yes
hydrilla,Bacopa monnieri,invasive plant cover,-0.0034543183348955367,0.0033502218881523685,8.650235719275794e-5,8.379886657096295e-5,-0.009813315315829074,-0.005707974007310244,-0.0035424249650655238,-0.0011593435784750666,0.0028120393821346097,emersed,hydrilla cover,1,103,no
