TaxonName,Habitat,pac_estimate,pac_std.error,pac_q.value,pac2_estimate,pac2_std.error,pac2_q.value
Carex spp.,emergent,0.03830267591043314,0.011027762463118469,0.0046834103168428,-0.0019749435461434823,7.915785395986688e-4,0.04875907841052024
Ceratophyllum demersum,submersed,-0.03933445360405262,0.009924189988583753,0.0010610438767540914,0.0015999450838342878,7.451845730029081e-4,0.10324732010792641
Cicuta maculata,emergent,0.04391725472857934,0.01250551964683877,0.004405873499779954,-0.002310453565716916,0.001011380473286119,0.0765667527434197
Cyperus articulatus,emergent,0.05290350380379333,0.012505956870925998,4.8433991294688755e-4,-0.003294371034480368,8.228621874635266e-4,9.172492101275883e-4
Echinochloa spp.,emergent,0.02222032622828252,0.007588274381025208,0.018533531809052917,-0.0016335216615139076,6.112401980319633e-4,0.03308546383519693
"Eleocharis spp., emersed",emergent,-0.02750290743765657,0.010902887831855656,0.04583997641672172,0.001386883270841694,8.113529431070798e-4,0.21768561308111128
"Eleocharis spp., sub/floating",submersed,-0.026976047044582813,0.008642926772607636,0.01150084906209296,0.0010739620670219647,7.250861873242328e-4,0.304438452259752
Juncus effusus,emergent,-0.036261404232830294,0.01035528683622262,0.004405873499779954,8.833345153256604e-4,0.0012012351967027365,0.6437991813247816
Limnobium spongia,floating,-0.04585572147116867,0.012053489879845131,0.0017129883112308657,0.002078676825720789,9.361338643767922e-4,0.08799078266133005
Ludwigia octovalvis/peruviana,emergent,-0.05377180998661248,0.015719210278395124,0.0054239161521637555,0.0054900229176719,0.0021672659610266942,0.045398567990716655
Ludwigia palustris/repens,emergent,0.022840101063600324,0.009120104493025,0.047726393046591216,-0.0012207752871281883,6.878756217644425e-4,0.19698715217399232
Luziola fluitans,submersed,-0.04653673224843962,0.013486331174364066,0.0049730574775211835,0.0028092235278193226,9.890154079983252e-4,0.022288078730444257
Micranthemum glomeratum,submersed,-0.047488321156277595,0.017410724117700515,0.028446594268553074,0.0022468162845849567,0.001343428090158398,0.22829582699652018
Micranthemum umbrosum,emergent,-0.06036148780691764,0.017336184979497123,0.0046502339874757255,0.003101669595582353,0.001120312409131196,0.02612269324020917
Najas guadalupensis,submersed,-0.024851591617384566,0.009661893767686874,0.04148583461630253,9.095161332727409e-4,6.768226658326445e-4,0.3581949243299194
Nitella spp.,submersed,-0.069857774104117,0.02269620030284709,0.01265829446166022,0.0027875797022354127,0.0027194907451953704,0.5046308003959539
Nymphaea mexicana,emergent,-0.10672048945375567,0.024754912091307656,3.914681132406513e-4,0.005637169922400204,0.0017501349153790354,0.009002609802049637
Nymphaea odorata,emergent,-0.051368383210818026,0.013481041115215673,0.001698908151094425,0.002761066538364934,0.0010028776145581662,0.02705052808090863
Nymphoides aquatica,emergent,-0.08903558704906869,0.026234360190316434,0.0059173077005283785,0.004492084658125773,0.0022896301476651284,0.14523055370685437
Pontederia cordata,emergent,-0.04763585586236344,0.011772858890693091,8.451826823397421e-4,0.002384977642051696,9.455613157565158e-4,0.04583997641672172
Potamogeton diversifolius,submersed,-0.22554758131173597,0.0859344098366912,0.03702497980685511,0.0090018603164686,0.032823650868255214,0.8825890286167687
Potamogeton illinoensis,submersed,-0.06332620644219372,0.01912092497199299,0.007649874066563686,0.004341699108266103,0.0013955328858708661,0.011698782121720973
Sagittaria latifolia,emergent,-0.055836256277182424,0.013104401447688587,4.609337238916048e-4,0.0031806534357427126,9.734991306438113e-4,0.008132552797899083
Thalia geniculata,emergent,-0.03557451303671962,0.013503895526599563,0.036820928814816516,0.0012265211203290227,9.907488865855785e-4,0.404892378593432
Utricularia foliosa,submersed,-0.05978404362656752,0.010940955980124149,2.8939153093676295e-06,0.0023624808936909803,7.212085276443458e-4,0.008132552797899083
Vallisneria americana,submersed,-0.031976269667562625,0.01092505500286712,0.018533531809052917,0.001319438289784826,7.363442861458599e-4,0.19177137751151846
Wolffia spp.,floating,0.05094105299250567,0.012901530476535916,0.0011086426214893064,-0.00319325121009939,0.0012142328382600506,0.03688467818673806
